Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
14467854,"18:51, 7 August 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
14154525,"17:36, 7 July 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
13858623,"17:25, 7 June 2014",InterwikiBot,False,addition,active,,26,(Adding interwiki link)
13850516,"17:46, 6 June 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
13527597,"17:17, 6 May 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
13486801,"10:44, 2 May 2014",BR,False,revert,active,,-82,(Reverted edits by 67.80.185.168 (Talk); changed back to last version by InterwikiBot)
13482910,"20:37, 1 May 2014",67.80.185.168,False,addition,reverted,BR,82,
13456480,"17:15, 29 April 2014",InterwikiBot,False,addition,reverted,BR,58,(Adding interwiki link)
13409463,"17:19, 24 April 2014",InterwikiBot,False,addition,reverted,BR,39,(Adding interwiki link)
13211303,"16:40, 5 April 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
13204343,"18:52, 4 April 2014",Chassidy Negrawro,False,addition,active,,130,
13168974,"18:06, 1 April 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
12856008,"18:36, 1 March 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
12536491,"19:28, 29 January 2014",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
12254194,"20:19, 30 December 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
12112845,"16:27, 15 December 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11997323,"17:24, 4 December 2013",24.227.186.18,False,deletion,active,,-84,
11955965,"16:27, 30 November 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11752363,"19:33, 10 November 2013",98.249.23.35,False,adjustment,active,,0,(→‎Steps)
11729271,"15:18, 8 November 2013",Mrappbrain,False,revert,active,,220,(Reverted edits by 173.87.125.228 (Talk); changed back to last version by Votebot)
11729097,"14:49, 8 November 2013",173.87.125.228,False,deletion,reverted,Mrappbrain,-220,
11630665,"22:33, 31 October 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11423338,"16:05, 16 October 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11277266,"15:55, 1 October 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11127868,"16:14, 16 September 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
11114381,"01:42, 15 September 2013",Isorhythmic,False,revert,active,,-155,(Reverted edits by Shiny Poliwhirl (Talk); changed back to last version by Tyler Forsythe)
11113674,"00:13, 15 September 2013",Shiny Poliwhirl,False,addition,reverted,Isorhythmic,155,(edited tip from Tips Patrol)
11081149,"20:57, 11 September 2013",Tyler Forsythe,False,addition,reverted,Isorhythmic,96,(edited tip from Tips Patrol)
10852992,"16:28, 19 August 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
10795154,"02:39, 13 August 2013",Wikiphoto,False,deletion,active,,-48,(Removing intro images)
10769605,"06:25, 10 August 2013",Wikiphoto,False,addition,active,,17,(Enlarging and centering Steps photos)
10769604,"06:25, 10 August 2013",Wikiphoto,False,addition,active,,42,(Saving new step-by-step photos)
10769567,"06:01, 10 August 2013",Wikiphoto,False,addition,active,,73,(Enlarging and centering Steps photos)
10769566,"06:01, 10 August 2013",Wikiphoto,False,addition,active,,397,(Saving new step-by-step photos)
10671929,"15:47, 4 August 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
10527319,"15:18, 20 July 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
10489910,"15:54, 16 July 2013",174.114.103.200,False,addition,active,,7,(How to babysit an Infant)
10314794,"08:53, 28 June 2013",184.52.66.131,False,addition,active,,84,(→‎Steps)
10254317,"23:07, 21 June 2013",99.124.189.115,False,deletion,active,,-3,(My advice is to NEVER babysit a baby! They are so adorable but it is too hard!)
10169086,"04:48, 13 June 2013",Isorhythmic,False,revert,active,,-95,(Reverted edits by Afiev Dewanta (Talk); changed back to last version by BR)
10162214,"15:54, 12 June 2013",Afiev Dewanta,False,addition,reverted,Isorhythmic,95,(edited tip from Tips Patrol)
10114013,"00:18, 8 June 2013",BR,False,addition,reverted,Isorhythmic,2,(Quick edit while patrolling)
10113642,"22:56, 7 June 2013",Ttrimm,False,addition,active,,82,(Adding related wikihow from NAB)
10092478,"15:21, 5 June 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
9955896,"00:08, 22 May 2013",TheVigil49,False,revert,active,,-124,(Reverted edits by 66.177.206.192 (Talk); changed back to last version by Votebot)
9955858,"00:03, 22 May 2013",66.177.206.192,False,addition,reverted,TheVigil49,124,(→‎Steps)
9816265,"15:29, 6 May 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
9762014,"00:41, 1 May 2013",Souleaterkid88,False,addition,active,,112,(edited tip from Tips Patrol)
9686974,"15:31, 24 April 2013",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
9614043,"21:38, 13 April 2013",74.216.95.170,False,deletion,active,,-141,
